# Time(s) fish0X fish0Y
653.000 0.900 1.191
654.000 0.735 1.191
655.000 0.543 1.192
656.000 0.340 1.188
657.000 0.161 1.175
658.000 0.031 1.139
659.000 0.032 1.008
660.000 0.037 0.866
661.000 0.060 0.818
662.000 0.098 0.765
663.000 0.139 0.602
664.000 0.221 0.461
665.000 0.249 0.324
666.000 0.169 0.231
667.000 0.032 0.173
668.000 0.090 0.028
669.000 0.196 0.033
670.000 0.355 0.028
671.000 0.487 0.018
672.000 0.658 0.019
673.000 0.853 0.010
674.000 1.069 0.016
675.000 1.189 0.081
676.000 1.196 0.239
677.000 1.197 0.440
678.000 1.157 0.668
679.000 1.070 0.827
680.000 0.992 0.943
681.000 1.080 1.085
682.000 1.141 1.180
683.000 1.094 1.186
684.000 0.981 1.189
685.000 0.854 1.191
686.000 0.702 1.196
687.000 0.524 1.192
688.000 0.323 1.188
689.000 0.149 1.176
690.000 0.071 1.171
691.000 0.146 1.177
692.000 0.257 1.183
693.000 0.387 1.188
694.000 0.517 1.189
695.000 0.673 1.191
696.000 0.833 1.192
697.000 1.011 1.182
698.000 1.175 1.170
699.000 1.186 0.980
700.000 1.176 0.818
701.000 1.200 0.669
702.000 1.193 0.497
703.000 1.191 0.290
704.000 1.187 0.104
705.000 1.098 0.016
706.000 0.935 0.012
707.000 0.782 0.011
708.000 0.608 0.015
709.000 0.415 0.015
710.000 0.241 0.033
711.000 0.078 0.031
712.000 0.032 0.057
713.000 0.135 0.020
714.000 0.226 0.016
715.000 0.352 0.013
716.000 0.508 0.006
717.000 0.693 0.009
718.000 0.881 0.012
719.000 1.078 0.033
720.000 1.177 0.049
721.000 1.190 0.188
722.000 1.195 0.381
723.000 1.195 0.588
724.000 1.192 0.778
725.000 1.190 0.988
726.000 1.179 1.135
727.000 1.136 1.184
728.000 1.073 1.177
729.000 0.949 1.187
730.000 0.880 1.116
731.000 0.963 1.065
732.000 1.089 1.166
733.000 1.174 1.140
734.000 1.192 1.001
735.000 1.180 0.881
736.000 1.195 0.763
737.000 1.197 0.601
738.000 1.200 0.421
739.000 1.187 0.209
740.000 1.163 0.017
741.000 0.971 0.031
742.000 0.792 0.011
743.000 0.638 0.015
744.000 0.470 0.022
745.000 0.320 0.026
746.000 0.127 0.032
747.000 0.058 0.033
748.000 0.057 0.039
749.000 0.025 0.138
750.000 0.009 0.321
751.000 0.012 0.458
752.000 0.011 0.657
753.000 0.012 0.837
754.000 0.029 1.042
755.000 0.059 1.177
756.000 0.200 1.178
757.000 0.336 1.175
758.000 0.482 1.192
759.000 0.665 1.102
760.000 0.822 1.003
761.000 0.891 0.927
762.000 1.025 0.967
763.000 1.144 1.072
764.000 1.147 1.177
765.000 1.186 1.053
766.000 1.195 0.919
767.000 1.195 0.734
768.000 1.197 0.564
769.000 1.198 0.375
770.000 1.185 0.191
771.000 1.173 0.023
772.000 1.033 0.016
773.000 0.854 0.008
774.000 0.693 0.014
775.000 0.538 0.018
776.000 0.376 0.023
777.000 0.197 0.023
778.000 0.059 0.027
779.000 0.062 0.036
780.000 0.193 0.023
781.000 0.324 0.013
782.000 0.473 0.008
783.000 0.627 0.005
784.000 0.752 0.006
785.000 0.728 0.052
786.000 0.570 0.028
787.000 0.379 0.049
788.000 0.205 0.027
789.000 0.050 0.039
790.000 0.014 0.216
791.000 0.005 0.407
792.000 0.018 0.606
793.000 0.011 0.772
794.000 0.017 0.979
795.000 0.052 1.164
