# Time(s) fish0X fish0Y
380.000 0.064 0.695
381.000 0.086 0.606
382.000 0.144 0.606
383.000 0.154 0.657
384.000 0.230 0.607
385.000 0.289 0.531
386.000 0.338 0.481
387.000 0.417 0.518
388.000 0.474 0.551
389.000 0.545 0.494
390.000 0.597 0.411
391.000 0.602 0.322
392.000 0.558 0.225
393.000 0.611 0.149
394.000 0.735 0.117
395.000 0.857 0.104
396.000 0.971 0.118
397.000 1.063 0.110
398.000 1.144 0.150
399.000 1.144 0.244
400.000 1.135 0.349
401.000 1.113 0.434
402.000 1.109 0.513
403.000 1.094 0.596
404.000 1.114 0.692
405.000 1.120 0.783
406.000 1.129 0.887
407.000 1.115 0.978
408.000 1.104 1.060
409.000 1.071 1.136
410.000 1.002 1.170
411.000 0.932 1.171
412.000 0.863 1.176
413.000 0.793 1.183
414.000 0.716 1.183
415.000 0.629 1.184
416.000 0.536 1.179
417.000 0.450 1.172
418.000 0.367 1.171
419.000 0.274 1.174
420.000 0.191 1.149
421.000 0.104 1.149
422.000 0.029 1.143
423.000 0.027 1.068
424.000 0.030 0.996
425.000 0.024 0.928
426.000 0.019 0.856
427.000 0.012 0.803
428.000 0.020 0.729
429.000 0.020 0.667
430.000 0.017 0.589
431.000 0.071 0.554
432.000 0.041 0.486
433.000 0.015 0.423
434.000 0.021 0.339
435.000 0.019 0.255
436.000 0.048 0.209
437.000 0.091 0.136
438.000 0.178 0.080
439.000 0.277 0.053
440.000 0.356 0.033
441.000 0.441 0.050
442.000 0.519 0.050
443.000 0.607 0.066
444.000 0.700 0.041
445.000 0.801 0.019
446.000 0.892 0.016
447.000 0.977 0.055
448.000 1.009 0.102
449.000 1.075 0.079
450.000 1.156 0.039
451.000 1.187 0.081
452.000 1.185 0.126
453.000 1.185 0.163
454.000 1.184 0.211
455.000 1.188 0.244
456.000 1.190 0.283
457.000 1.190 0.235
458.000 1.140 0.186
459.000 1.148 0.113
460.000 1.185 0.046
461.000 1.145 0.010
462.000 1.101 0.018
463.000 1.064 0.029
464.000 1.009 0.079
465.000 1.024 0.147
466.000 1.080 0.192
467.000 1.137 0.217
468.000 1.185 0.265
469.000 1.175 0.335
470.000 1.174 0.407
471.000 1.196 0.488
472.000 1.178 0.564
473.000 1.187 0.650
474.000 1.183 0.729
475.000 1.172 0.815
476.000 1.178 0.918
477.000 1.164 1.000
478.000 1.164 1.067
479.000 1.152 1.165
480.000 1.069 1.183
481.000 1.005 1.179
482.000 0.946 1.180
483.000 0.928 1.196
484.000 0.864 1.188
485.000 0.794 1.176
486.000 0.701 1.176
487.000 0.595 1.152
488.000 0.512 1.175
489.000 0.419 1.162
490.000 0.324 1.160
491.000 0.234 1.156
492.000 0.138 1.163
493.000 0.060 1.149
494.000 0.096 1.106
495.000 0.057 1.049
496.000 0.026 0.998
497.000 0.028 0.927
498.000 0.030 0.860
499.000 0.023 0.788
500.000 0.027 0.704
501.000 0.039 0.610
502.000 0.080 0.549
503.000 0.074 0.474
504.000 0.033 0.406
505.000 0.037 0.317
506.000 0.043 0.227
507.000 0.039 0.151
508.000 0.057 0.072
509.000 0.044 0.034
510.000 0.099 0.030
511.000 0.146 0.039
512.000 0.204 0.055
513.000 0.292 0.048
514.000 0.382 0.054
515.000 0.474 0.034
516.000 0.558 0.047
517.000 0.647 0.031
518.000 0.745 0.039
519.000 0.832 0.047
520.000 0.945 0.043
521.000 1.043 0.056
522.000 1.137 0.053
523.000 1.178 0.102
524.000 1.168 0.194
525.000 1.158 0.285
526.000 1.136 0.353
527.000 1.115 0.432
528.000 1.148 0.523
529.000 1.172 0.624
530.000 1.154 0.720
531.000 1.104 0.756
532.000 1.126 0.835
533.000 1.167 0.924
534.000 1.164 1.043
535.000 1.138 1.132
536.000 1.085 1.176
537.000 1.000 1.169
538.000 0.902 1.184
539.000 0.818 1.159
540.000 0.716 1.167
541.000 0.596 1.156
542.000 0.496 1.131
543.000 0.466 1.074
544.000 0.429 1.024
545.000 0.343 1.016
546.000 0.271 1.065
547.000 0.196 1.119
548.000 0.102 1.125
549.000 0.036 1.077
550.000 0.042 0.999
551.000 0.048 0.908
552.000 0.051 0.831
553.000 0.074 0.751
554.000 0.049 0.657
555.000 0.065 0.562
556.000 0.071 0.468
557.000 0.070 0.383
558.000 0.075 0.288
559.000 0.049 0.190
560.000 0.067 0.096
561.000 0.136 0.048
562.000 0.229 0.050
563.000 0.316 0.027
564.000 0.405 0.050
565.000 0.488 0.040
566.000 0.582 0.055
567.000 0.674 0.071
568.000 0.749 0.062
569.000 0.808 0.125
570.000 0.878 0.161
571.000 0.953 0.176
572.000 1.029 0.104
573.000 1.114 0.060
574.000 1.184 0.063
575.000 1.177 0.131
576.000 1.167 0.190
577.000 1.156 0.272
578.000 1.154 0.354
579.000 1.122 0.429
580.000 1.147 0.523
581.000 1.140 0.589
582.000 1.136 0.613
583.000 1.112 0.674
584.000 1.071 0.766
585.000 1.098 0.846
586.000 1.143 0.931
587.000 1.130 1.026
588.000 1.062 1.079
589.000 0.987 1.136
590.000 0.892 1.145
591.000 0.825 1.127
592.000 0.732 1.119
593.000 0.625 1.141
594.000 0.521 1.145
595.000 0.418 1.137
596.000 0.315 1.154
597.000 0.243 1.123
598.000 0.155 1.129
599.000 0.066 1.097
600.000 0.076 1.024
601.000 0.053 0.947
602.000 0.039 0.861
603.000 0.064 0.787
604.000 0.091 0.730
605.000 0.125 0.669
606.000 0.163 0.596
607.000 0.151 0.538
608.000 0.197 0.457
609.000 0.185 0.396
610.000 0.139 0.324
611.000 0.103 0.245
612.000 0.078 0.165
613.000 0.021 0.149
614.000 0.021 0.093
615.000 0.020 0.039
616.000 0.079 0.027
617.000 0.111 0.065
618.000 0.154 0.065
619.000 0.161 0.025
620.000 0.106 0.049
621.000 0.106 0.112
622.000 0.169 0.143
623.000 0.248 0.143
624.000 0.344 0.129
625.000 0.447 0.087
626.000 0.548 0.077
627.000 0.611 0.043
628.000 0.610 0.021
629.000 0.632 0.022
630.000 0.721 0.043
631.000 0.808 0.047
632.000 0.894 0.029
633.000 0.976 0.049
634.000 1.015 0.098
635.000 1.089 0.072
636.000 1.136 0.031
637.000 1.182 0.066
638.000 1.183 0.115
639.000 1.175 0.148
640.000 1.163 0.193
641.000 1.154 0.259
642.000 1.160 0.328
643.000 1.191 0.328
644.000 1.168 0.297
645.000 1.140 0.371
646.000 1.151 0.472
647.000 1.168 0.571
648.000 1.166 0.672
649.000 1.140 0.756
650.000 1.135 0.850
651.000 1.167 0.949
652.000 1.169 1.059
653.000 1.158 1.145
654.000 1.170 1.187
655.000 1.068 1.181
656.000 0.985 1.173
657.000 0.915 1.156
658.000 0.819 1.134
659.000 0.715 1.146
660.000 0.617 1.155
661.000 0.513 1.157
662.000 0.430 1.144
663.000 0.345 1.078
664.000 0.260 1.068
665.000 0.190 1.111
666.000 0.182 1.134
667.000 0.182 1.103
668.000 0.135 1.048
669.000 0.078 1.076
670.000 0.062 1.140
671.000 0.024 1.140
672.000 0.041 1.094
673.000 0.040 1.055
674.000 0.042 1.008
675.000 0.032 0.967
676.000 0.035 0.919
677.000 0.035 0.852
678.000 0.041 0.786
679.000 0.054 0.704
680.000 0.072 0.624
681.000 0.037 0.546
682.000 0.028 0.458
683.000 0.048 0.363
684.000 0.012 0.296
685.000 0.061 0.265
686.000 0.133 0.216
687.000 0.111 0.136
688.000 0.072 0.071
689.000 0.157 0.039
690.000 0.245 0.037
691.000 0.340 0.044
692.000 0.439 0.035
693.000 0.544 0.043
694.000 0.642 0.033
695.000 0.729 0.052
696.000 0.838 0.044
697.000 0.944 0.028
698.000 1.010 0.054
699.000 1.045 0.095
700.000 1.120 0.051
701.000 1.172 0.018
702.000 1.188 0.075
703.000 1.177 0.147
704.000 1.187 0.172
705.000 1.178 0.238
706.000 1.149 0.327
707.000 1.141 0.429
708.000 1.145 0.525
709.000 1.143 0.632
710.000 1.117 0.738
711.000 1.132 0.850
712.000 1.133 0.956
713.000 1.139 1.057
714.000 1.077 1.124
715.000 0.979 1.139
716.000 0.876 1.142
717.000 0.763 1.144
718.000 0.656 1.155
719.000 0.547 1.175
720.000 0.444 1.165
721.000 0.346 1.138
722.000 0.276 1.088
723.000 0.208 1.030
724.000 0.115 0.997
725.000 0.081 1.051
726.000 0.049 1.120
727.000 0.020 1.070
