timeStep	fish0X	fish0Y	fish1X	fish1Y	fish2X	fish2Y	fish3X	fish3Y	fish4X	fish4Y	fish5X	fish5Y	fish6X	fish6Y	fish7X	fish7Y	fish8X	fish8Y	fish9X	fish9Y
129.00 0.125 0.483 0.270 0.651 0.352 0.805 0.359 0.432 0.400 0.697 0.424 0.739 0.462 0.811 0.811 0.849 0.990 0.863 0.856 0.910
130.00 0.140 0.630 0.420 0.419 0.455 0.686 0.475 0.700 0.587 0.726 0.622 0.698 0.649 0.667 0.790 0.860 0.993 0.856 0.864 0.923
131.00 0.142 0.772 0.677 0.705 0.679 0.624 0.694 0.670 0.734 0.739 0.777 0.872 0.985 0.861 0.733 0.582 0.476 0.374 0.877 0.959
132.00 0.127 0.924 0.616 0.418 0.732 0.513 0.791 0.901 0.798 0.607 0.815 0.730 0.865 0.730 0.876 0.730 0.883 0.979 0.833 0.908
133.00 0.094 1.053 0.758 0.455 0.814 0.576 0.888 0.698 0.918 0.772 0.828 0.916 0.825 0.912 0.822 0.886 0.933 0.846 0.990 0.858
134.00 0.150 1.151 0.869 0.678 0.880 0.776 0.891 0.833 0.849 0.912 0.938 0.863 0.993 0.888 1.006 0.835 0.956 0.944 0.854 0.916
135.00 1.043 0.831 0.896 0.858 0.930 0.940 0.930 0.936 0.862 0.927 0.872 0.925 0.872 0.946 0.943 0.936 0.891 0.856 0.927 0.938
136.00 1.069 0.813 0.969 0.991 0.990 0.934 0.980 0.919 0.956 0.925 0.961 0.946 0.906 0.989 0.883 0.929 0.959 0.970 0.972 0.970
137.00 1.083 1.007 1.082 0.765 1.097 0.944 1.004 0.974 1.014 0.927 0.967 0.991 0.883 0.951 0.943 0.921 0.954 0.923 0.951 0.936
138.00 0.637 1.170 1.024 0.718 1.068 0.901 1.070 1.102 1.097 0.810 1.040 0.970 1.019 0.906 0.919 0.938 0.862 0.968 0.943 0.916
139.00 0.760 1.160 0.946 1.101 0.960 0.787 0.972 0.764 1.047 0.841 1.009 0.919 0.922 0.897 0.891 0.871 0.896 0.998 0.930 0.951
140.00 0.837 1.080 0.857 1.148 0.910 1.008 0.946 0.929 0.867 0.946 0.877 0.858 0.909 0.893 0.938 0.805 1.001 0.856 0.875 0.987
141.00 0.810 1.014 0.940 1.127 0.977 1.013 0.914 0.983 0.914 0.955 0.901 0.938 0.885 0.942 1.001 0.886 0.896 0.843 0.917 0.876
142.00 0.890 1.044 0.957 1.040 1.048 1.088 0.870 0.886 0.893 0.895 0.859 0.998 0.935 0.936 0.975 0.927 0.985 0.903 0.954 0.880
143.00 0.998 1.063 1.015 1.090 1.116 1.009 0.951 0.989 0.980 0.959 0.912 0.966 0.938 0.929 0.872 0.927 0.851 0.895 0.904 0.888
144.00 0.980 1.051 1.050 0.938 1.069 0.912 1.084 0.992 1.090 1.052 0.846 0.903 0.862 0.942 0.914 0.957 1.082 0.912 0.927 0.919
145.00 0.933 1.011 1.040 0.978 1.064 1.113 1.073 0.840 1.117 0.810 1.125 0.866 1.144 0.929 0.849 0.959 0.830 0.903 0.835 0.873
146.00 1.066 0.856 1.112 1.047 1.131 0.729 1.157 0.789 1.160 0.814 1.163 0.833 0.801 0.882 0.914 0.938 0.854 0.961 1.014 0.961
147.00 1.035 0.820 1.094 0.790 1.099 0.638 1.099 0.932 1.116 0.859 1.128 0.772 1.161 0.815 0.793 0.861 0.835 0.882 0.883 0.994
148.00 1.040 0.604 1.062 0.579 1.078 0.640 1.083 0.906 1.105 0.755 1.128 0.764 1.159 0.664 0.972 0.936 0.783 0.848 0.925 0.964
149.00 1.025 0.465 1.037 0.831 1.053 0.502 1.057 0.407 1.095 0.596 1.148 0.493 0.993 0.983 0.993 0.873 0.764 0.824 1.124 0.661
150.00 0.939 0.402 0.970 0.292 0.995 0.245 1.004 0.479 1.053 0.673 1.126 0.534 1.136 0.402 0.743 0.822 1.059 0.979 0.964 0.831
151.00 0.828 0.271 0.855 0.142 0.850 0.177 0.938 0.344 1.014 0.290 1.080 0.486 1.084 0.392 1.110 1.080 0.956 0.798 0.725 0.867
152.00 0.680 0.112 0.699 0.174 0.765 0.116 0.768 0.250 0.901 0.144 0.940 0.732 1.003 0.271 1.041 0.298 1.113 1.155 0.754 0.897
153.00 0.483 0.126 0.495 0.177 0.572 0.101 0.573 0.207 0.688 0.090 0.802 0.917 0.908 0.707 0.950 0.147 0.982 0.159 1.065 1.154
154.00 0.399 0.130 0.456 0.244 0.518 0.127 0.883 0.706 0.883 0.050 0.923 0.034 1.029 1.151 0.339 0.219 0.313 0.185 0.891 0.985
155.00 0.389 0.236 0.768 0.056 0.767 0.039 0.847 0.706 0.973 1.141 0.363 0.168 0.181 0.202 0.244 0.290 0.300 0.232 0.247 0.367
156.00 0.536 0.107 0.606 0.065 0.806 0.696 0.932 1.133 0.268 0.318 0.226 0.331 0.158 0.307 0.260 0.187 0.649 0.041 0.646 0.044
157.00 0.122 0.390 0.208 0.396 0.398 0.100 0.428 0.025 0.502 0.055 0.765 0.657 0.894 1.098 0.896 0.968 0.158 0.294 0.229 0.361
158.00 0.092 0.425 0.114 0.494 0.148 0.476 0.268 0.138 0.273 0.044 0.393 0.068 0.721 0.610 0.892 1.039 0.922 0.957 0.210 0.400
159.00 0.108 0.627 0.109 0.541 0.137 0.629 0.155 0.102 0.185 0.463 0.264 0.078 0.671 0.571 0.197 0.301 0.885 1.002 0.930 0.940
160.00 0.131 0.129 0.196 0.453 0.230 0.619 0.248 0.753 0.270 0.676 0.280 0.635 0.613 0.566 0.906 0.979 0.095 0.254 0.912 0.979
161.00 0.073 0.277 0.161 0.468 0.339 0.627 0.360 0.653 0.385 0.769 0.410 0.751 0.455 0.739 0.562 0.574 0.909 0.957 0.896 0.873
