# TimeStep fish0X fish0Y fish1X fish1Y
51.533 nan nan nan nan
51.600 nan nan nan nan
51.667 nan nan nan nan
51.733 nan nan nan nan
51.800 nan nan nan nan
51.867 nan nan nan nan
51.933 nan nan nan nan
52.000 nan nan nan nan
52.067 nan nan nan nan
52.133 nan nan nan nan
52.200 nan nan nan nan
52.267 nan nan nan nan
52.333 nan nan nan nan
52.400 nan nan nan nan
52.467 nan nan nan nan
52.533 nan nan nan nan
52.600 nan nan nan nan
52.667 nan nan nan nan
52.733 nan nan nan nan
52.800 nan nan nan nan
52.867 nan nan nan nan
52.933 nan nan nan nan
53.000 nan nan nan nan
53.067 nan nan nan nan
53.133 nan nan nan nan
53.200 nan nan nan nan
53.267 nan nan nan nan
53.333 nan nan nan nan
53.400 nan nan nan nan
53.467 nan nan nan nan
53.533 nan nan nan nan
53.600 nan nan nan nan
53.667 nan nan nan nan
53.733 nan nan nan nan
53.800 nan nan nan nan
53.867 nan nan nan nan
53.933 nan nan nan nan
54.000 nan nan nan nan
54.067 nan nan nan nan
54.133 nan nan nan nan
54.200 nan nan nan nan
54.267 nan nan nan nan
54.333 nan nan nan nan
54.400 nan nan nan nan
54.467 nan nan nan nan
54.533 nan nan nan nan
54.600 nan nan nan nan
54.667 nan nan nan nan
54.733 nan nan nan nan
54.800 nan nan nan nan
54.867 nan nan nan nan
54.933 nan nan nan nan
55.000 nan nan nan nan
55.067 nan nan nan nan
55.133 nan nan nan nan
55.200 nan nan nan nan
55.267 nan nan nan nan
55.333 nan nan nan nan
55.400 nan nan nan nan
55.467 nan nan nan nan
55.533 nan nan nan nan
55.600 nan nan nan nan
55.667 nan nan nan nan
55.733 nan nan nan nan
55.800 nan nan nan nan
55.867 nan nan nan nan
55.933 nan nan nan nan
56.000 nan nan nan nan
56.067 nan nan nan nan
56.133 nan nan nan nan
56.200 nan nan 0.073 0.826
56.267 nan nan nan nan
56.333 nan nan nan nan
56.400 nan nan nan nan
56.467 nan nan nan nan
56.533 nan nan nan nan
56.600 nan nan nan nan
56.667 nan nan nan nan
56.733 nan nan nan nan
56.800 nan nan nan nan
56.867 nan nan nan nan
56.933 nan nan nan nan
57.000 nan nan nan nan
57.067 nan nan nan nan
57.133 nan nan nan nan
57.200 nan nan nan nan
57.267 nan nan nan nan
57.333 nan nan nan nan
57.400 nan nan nan nan
57.467 nan nan nan nan
57.533 nan nan nan nan
57.600 nan nan nan nan
57.667 nan nan 0.280 0.878
57.733 nan nan 0.287 0.878
57.800 nan nan 0.294 0.878
57.867 nan nan 0.298 0.877
57.933 nan nan nan nan
58.000 nan nan 0.278 0.850
58.067 0.298 0.849 0.286 0.851
58.133 nan nan nan nan
58.200 nan nan nan nan
58.267 0.296 0.814 0.298 0.842
58.333 0.296 0.806 0.291 0.833
58.400 nan nan nan nan
58.467 nan nan 0.296 0.773
58.533 nan nan 0.297 0.762
58.600 nan nan 0.298 0.754
58.667 nan nan nan nan
58.733 nan nan 0.300 0.741
58.800 nan nan nan nan
58.867 nan nan nan nan
58.933 nan nan nan nan
59.000 nan nan nan nan
59.067 nan nan nan nan
59.133 nan nan nan nan
59.200 nan nan nan nan
59.267 nan nan nan nan
59.333 nan nan nan nan
59.400 nan nan nan nan
59.467 nan nan nan nan
59.533 nan nan nan nan
59.600 nan nan nan nan
59.667 nan nan nan nan
59.733 nan nan nan nan
