# Time(s) fish0X fish0Y
935.000 0.951 1.170
936.000 1.073 1.172
937.000 1.154 1.124
938.000 1.151 1.018
939.000 1.118 0.904
940.000 1.113 0.836
941.000 1.130 0.715
942.000 1.155 0.584
943.000 1.162 0.493
944.000 1.169 0.388
945.000 1.181 0.285
946.000 1.169 0.182
947.000 1.164 0.101
948.000 1.105 0.041
949.000 0.988 0.038
950.000 0.878 0.036
951.000 0.783 0.030
952.000 0.653 0.038
953.000 0.531 0.042
954.000 0.405 0.039
955.000 0.319 0.111
956.000 0.290 0.203
957.000 0.317 0.326
958.000 0.293 0.443
959.000 0.175 0.512
960.000 0.060 0.525
961.000 0.018 0.590
962.000 0.052 0.679
963.000 0.062 0.768
964.000 0.033 0.853
965.000 0.035 0.951
966.000 0.042 1.059
967.000 0.052 1.141
968.000 0.040 1.131
969.000 0.073 1.134
970.000 0.141 1.152
971.000 0.174 1.151
972.000 0.224 1.153
973.000 0.293 1.160
974.000 0.399 1.159
975.000 0.502 1.167
976.000 0.599 1.164
977.000 0.714 1.168
978.000 0.838 1.170
979.000 0.980 1.165
980.000 1.086 1.171
981.000 1.162 1.165
982.000 1.137 1.173
983.000 1.148 1.109
984.000 1.163 1.010
985.000 1.154 0.915
986.000 1.180 0.813
987.000 1.163 0.691
988.000 1.166 0.567
989.000 1.170 0.457
990.000 1.180 0.345
991.000 1.175 0.224
992.000 1.179 0.101
993.000 1.136 0.031
994.000 1.074 0.034
995.000 0.975 0.048
996.000 0.885 0.028
997.000 0.777 0.034
998.000 0.705 0.034
999.000 0.586 0.038
1000.000 0.481 0.031
1001.000 0.361 0.038
1002.000 0.256 0.041
1003.000 0.162 0.034
1004.000 0.081 0.039
1005.000 0.051 0.050
1006.000 0.046 0.146
1007.000 0.036 0.253
1008.000 0.034 0.373
1009.000 0.036 0.477
1010.000 0.018 0.569
1011.000 0.041 0.651
1012.000 0.054 0.776
1013.000 0.038 0.950
1014.000 0.045 1.090
1015.000 0.074 1.156
1016.000 0.169 1.150
1017.000 0.251 1.154
1018.000 0.337 1.151
1019.000 0.448 1.159
1020.000 0.557 1.158
1021.000 0.699 1.162
1022.000 0.864 1.162
1023.000 1.012 1.172
1024.000 1.125 1.153
1025.000 1.163 1.083
1026.000 1.153 0.980
1027.000 1.163 0.835
1028.000 1.164 0.701
1029.000 1.157 0.559
1030.000 1.170 0.418
1031.000 1.180 0.289
1032.000 1.179 0.149
1033.000 1.157 0.043
1034.000 1.049 0.041
1035.000 0.905 0.030
1036.000 0.761 0.024
1037.000 0.606 0.036
1038.000 0.473 0.040
1039.000 0.336 0.034
1040.000 0.214 0.031
1041.000 0.095 0.044
1042.000 0.072 0.017
1043.000 0.048 0.119
1044.000 0.038 0.253
1045.000 0.015 0.314
1046.000 0.046 0.322
1047.000 0.006 0.285
1048.000 0.055 0.350
1049.000 0.059 0.457
1050.000 0.071 0.447
1051.000 0.104 0.498
1052.000 0.063 0.530
1053.000 0.086 0.393
1054.000 0.030 0.342
1055.000 0.035 0.260
1056.000 0.021 0.180
1057.000 0.021 0.093
1058.000 0.042 0.057
1059.000 0.058 0.135
1060.000 0.048 0.200
1061.000 0.026 0.173
1062.000 0.041 0.117
1063.000 0.107 0.078
1064.000 0.139 0.140
1065.000 0.132 0.236
1066.000 0.096 0.311
1067.000 0.034 0.352
1068.000 0.031 0.425
1069.000 0.025 0.527
1070.000 0.041 0.613
1071.000 0.106 0.683
1072.000 0.223 0.679
1073.000 0.327 0.748
1074.000 0.304 0.882
1075.000 0.268 0.984
1076.000 0.218 1.107
1077.000 0.117 1.152
1078.000 0.032 1.156
1079.000 0.035 1.095
1080.000 0.036 1.033
1081.000 0.081 1.018
1082.000 0.156 1.039
1083.000 0.198 1.015
1084.000 0.202 0.953
1085.000 0.201 0.891
1086.000 0.261 0.825
1087.000 0.349 0.911
1088.000 0.371 1.021
1089.000 0.452 1.121
1090.000 0.558 1.169
1091.000 0.692 1.171
1092.000 0.815 1.160
1093.000 0.947 1.167
1094.000 1.042 1.184
1095.000 1.097 1.152
1096.000 1.121 1.048
1097.000 1.062 0.945
1098.000 1.057 0.905
1099.000 1.126 0.825
1100.000 1.166 0.707
1101.000 1.135 0.604
1102.000 1.049 0.546
1103.000 1.036 0.449
1104.000 1.041 0.275
1105.000 1.066 0.110
1106.000 1.104 0.016
1107.000 1.183 0.040
1108.000 1.140 0.069
1109.000 1.009 0.044
1110.000 0.901 0.044
1111.000 0.761 0.059
1112.000 0.628 0.077
1113.000 0.438 0.115
1114.000 0.241 0.071
1115.000 0.108 0.056
1116.000 0.030 0.105
1117.000 0.039 0.230
1118.000 0.015 0.312
1119.000 0.028 0.379
1120.000 0.034 0.451
1121.000 0.015 0.520
1122.000 0.036 0.596
1123.000 0.067 0.712
1124.000 0.164 0.757
1125.000 0.188 0.892
1126.000 0.251 1.016
1127.000 0.396 1.116
1128.000 0.528 1.162
1129.000 0.660 1.167
1130.000 0.770 1.192
1131.000 0.849 1.188
1132.000 0.897 1.124
1133.000 0.977 1.095
1134.000 1.088 1.059
1135.000 1.166 0.988
1136.000 1.121 0.879
1137.000 1.131 0.764
1138.000 1.098 0.649
1139.000 1.098 0.521
1140.000 1.116 0.341
1141.000 1.123 0.149
1142.000 1.132 0.045
1143.000 1.004 0.024
1144.000 0.947 0.051
1145.000 0.963 0.023
1146.000 0.971 0.067
1147.000 0.954 0.015
1148.000 1.033 0.022
1149.000 1.089 0.022
